id,term,normalized_term,language,category,description,example,aliases,regex_pattern,notes,,,,,,,,,,
,,Выдвиженец,,,"частый посетитель «кислотных» вечеринок, как правило употребляющий амфетамин и/или экстази.",,,,,,,,,,,,,,
,,Герондосник (Гердозер),,,"наркоман, употребляющий героин.",,,,,,,,,,,,,,
,,Джанк (английский,,,"рухлядь, отбросы) — наркоман-опиушник.",,,,,,,,,,,,,,
,,Ковбой,,,"человек, с целью получения удовольствия или наркотического опьянения употребляющий психоактивные препараты, продающиеся в аптеке.",,,,,,,,,,,,,,
,,Аптечный ковбой (по названию фильма),,,"человек, с целью получения удовольствия или наркотического опьянения употребляющий психоактивные препараты, продающиеся в аптеке.",,,,,,,,,,,,,,
,,Колючий,,,"человек, употребляющий наркотики внутривенно.",,,,,,,,,,,,,,
,,Пырь,,,"человек, употребляющий наркотики внутривенно.",,,,,,,,,,,,,,
,,Космонавт,,,"человек, предпочитающий психотропы диссоциативного действия.",,,,,,,,,,,,,,
,,Орешник,,,"человек, употребляющий мускатный орех.",,,,,,,,,,,,,,
,,Психонавт,,,"человек, занимающийся исследованием своего сознания, использующий для этого различные методики, в том числе несистематическое употребление психоактивных веществ, стараясь при этом избежать наркотической зависимости.",,,,,,,,,,,,,,
,,Синий,,,"наркоман, находящийся в состоянии алкогольного опьянения.",,,,,,,,,,,,,,
,,Алкаш,,,алкоголик.,,,,,,,,,,,,,,
,,Бухарь,,,алкоголик.,,,,,,,,,,,,,,
,,Синяк,,,алкоголик.,,,,,,,,,,,,,,
,,Синчер,,,алкоголик.,,,,,,,,,,,,,,
,,Сливорез,,,алкоголик.,,,,,,,,,,,,,,
,,Хрон,,,алкоголик.,,,,,,,,,,,,,,
,,Забулдыга,,,алкоголик.,,,,,,,,,,,,,,
,,Ситтер,,,присматривающий за другим наркоманом во время употребления наркотиков.,,,,,,,,,,,,,,
,,Торч,,,регулярно употребляющий наркотики.,,,,,,,,,,,,,,
,,Укурок,,,регулярно злоупотребляющий курением марихуаны.,,,,,,,,,,,,,,
,,Укурыш,,,регулярно злоупотребляющий курением марихуаны.,,,,,,,,,,,,,,
,,Урюк,,,старый (опытный) наркоман.,,,,,,,,,,,,,,
,,Хмурящийся,,,опиоман.,,,,,,,,,,,,,,
,,Нахмуренный,,,опиоман.,,,,,,,,,,,,,,
,,Чернушник,,,опиоман.,,,,,,,,,,,,,,
,,Широман,,,"наркоман, употребляющий наркотики внутривенно (чаще опиоман, героинист).",,,,,,,,,,,,,,
,,Баянист,,,"наркоман, употребляющий наркотики внутривенно (чаще опиоман, героинист).",,,,,,,,,,,,,,
,,Юзер (английский,,,"потребитель) — человек, принимающий наркотические препараты.",,,,,,,,,,,,,,
,,Full Power,,,"состояние сильного наркотического опьянения, в противовес слабому или среднему, обычно применяется в отношении «быстрых» наркотиков.",,,,,,,,,,,,,,
,,Алёнка,,,передозировка бутератом.,,,,,,,,,,,,,,
,,Атама,,,состояние сонливости после приема наркотиков.,,,,,,,,,,,,,,
,,Потушило,,,состояние сонливости после приема наркотиков.,,,,,,,,,,,,,,
,,Аут (английский,,,"вне, отдалённый, нокаутировать) — действие наркотика, при котором наркоман находится не в адекватном состоянии, наполовину во сне.",,,,,,,,,,,,,,
,,Бледный,,,передозировка препаратами марихуаны.,,,,,,,,,,,,,,
,,Бэдтрип,,,"плохое путешествие) — негативное развитие событий при приеме психоделиков (вызывающих галлюцинации) (неудачный трип). Термин, заимствованный из англоязычного сленга.",,,,,,,,,,,,,,
,,Бэд (английский,,,"плохое путешествие) — негативное развитие событий при приеме психоделиков (вызывающих галлюцинации) (неудачный трип). Термин, заимствованный из англоязычного сленга.",,,,,,,,,,,,,,
,,Вата,,,отсутствие ожидаемого эффекта.,,,,,,,,,,,,,,
,,Висеть,,,"состояние, возникающее после прихода. Характерно для наркоманов, принимающих ханку. Выражается в желании уйти в себя, отключиться от окружающих.",,,,,,,,,,,,,,
,,Вставляет,,,первая фаза наркотической или психотропной эйфории.,,,,,,,,,,,,,,
,,Зацепило,,,первая фаза наркотической или психотропной эйфории.,,,,,,,,,,,,,,
,,Бля,,,первая фаза наркотической или психотропной эйфории.,,,,,,,,,,,,,,
,,ебашит,,,первая фаза наркотической или психотропной эйфории.,,,,,,,,,,,,,,
,,Подкурило,,,первая фаза наркотической или психотропной эйфории.,,,,,,,,,,,,,,
,,Выкупить,,,"заметить состояние наркотического опьянения или психотропного воздействия в человеке, находящемся под действием соответствующих веществ.",,,,,,,,,,,,,,
,,Спалить,,,"заметить состояние наркотического опьянения или психотропного воздействия в человеке, находящемся под действием соответствующих веществ.",,,,,,,,,,,,,,
,,Галюники,,,галлюцинация.,,,,,,,,,,,,,,
,,Глюки,,,галлюцинация.,,,,,,,,,,,,,,
,,Голяк,,,отсутствие ожидаемого наркотического эффекта.,,,,,,,,,,,,,,
,,Голяки,,,отсутствие ожидаемого наркотического эффекта.,,,,,,,,,,,,,,
,,Гонки,,,"ощущение страха, паранойя или мания преследования, приходящие через некоторое время после принятия наркотика.",,,,,,,,,,,,,,
,,Диспансер,,,состоянии когда наркоман вообще не может совершать самостоятельных действий.,,,,,,,,,,,,,,
,,Зима,,,"период жизни человека, проведенный на системе.",,,,,,,,,,,,,,
,,Измена,,,"1. чувство страха, паники, возникающее при употреблении некоторых веществ (чаще марихуаны), см. Бэдтрип; 2. общее название страха, паники, опасения развития конфликтной ситуации в молодёжном сленге (высаживает на измену).",,,,,,,,,,,,,,
,,Кошмарит,,,см. Бэдтрип.,,,,,,,,,,,,,,
,,Кумарить,,,1. испытывать тягостные неприятные ощущения начинающегося абстинентного синдрома; 2. находиться в состоянии развернутого абстинентного (чаще опийного) синдрома (ср. перекумарить — пережить абстинентный синдром).,,,,,,,,,,,,,,
,,Козявит,,,"Состояние эйфории, эффект «размазанной реальности».Нечеткие формы окружающих предметов, все вокруг смотрится смазано, хочется полежать. «Алкоголь с ганджа мажет, а без ганджа бычит.»",,,,,,,,,,,,,,
,,На марафоне,,,"процесс непрерывного употребления наркотиков-стимуляторов в течение длительного времени, иногда до нескольких суток, зачастую без сна, зачастую с потерей ориентации во времени и пространстве. Типичные сменяющие друг друга состояния при Марафоне — Приходы, Гонки, Измена, Зацепило, Отпустило, Вторяк, Трипы, Бэдтрипы, Объебос и т. п.",,,,,,,,,,,,,,
,,Марафонить,,,"процесс непрерывного употребления наркотиков-стимуляторов в течение длительного времени, иногда до нескольких суток, зачастую без сна, зачастую с потерей ориентации во времени и пространстве. Типичные сменяющие друг друга состояния при Марафоне — Приходы, Гонки, Измена, Зацепило, Отпустило, Вторяк, Трипы, Бэдтрипы, Объебос и т. п.",,,,,,,,,,,,,,
,,Непонятки,,,см. Измена.,,,,,,,,,,,,,,
,,Обибоз,,,"1. состояние опъянения вследствие употребления; 2. человек, злоупотребляющий психоактивными веществами; 3. ироничное обозначение человека, находящегося в состоянии сильного наркотического опьянения.",,,,,,,,,,,,,,
,,Объебос,,,"1. состояние опъянения вследствие употребления; 2. человек, злоупотребляющий психоактивными веществами; 3. ироничное обозначение человека, находящегося в состоянии сильного наркотического опьянения.",,,,,,,,,,,,,,
,,Обибо,,,"1. состояние опъянения вследствие употребления; 2. человек, злоупотребляющий психоактивными веществами; 3. ироничное обозначение человека, находящегося в состоянии сильного наркотического опьянения.",,,,,,,,,,,,,,
,,Отпустило,,,"окончание действия наркотического опьянения или психотропного воздействия, как позитивного (Приход, Кайф и т. д.), так и негативного (Измена, Бэдтрип и т. д.) характера.",,,,,,,,,,,,,,
,,Подсесть (на что-то),,,приобрести зависимость от чего-то.,,,,,,,,,,,,,,
,,Поздняк,,,эффект запоздания начала основного действия марихуаны.,,,,,,,,,,,,,,
,,Педали,,,эффект запоздания начала основного действия марихуаны.,,,,,,,,,,,,,,
,,Свин,,,сильное чувство голода возникающее после употребления марихуаны. Возможно выражение — кишка проснулась или свин напал.,,,,,,,,,,,,,,
,,Свинак,,,сильное чувство голода возникающее после употребления марихуаны. Возможно выражение — кишка проснулась или свин напал.,,,,,,,,,,,,,,
,,Склиф,,,состояние абсолютно неадекватного состояния и поведения наркомана.,,,,,,,,,,,,,,
,,Снюхаться,,,приобрести стойкую зависимость к амфетаминам.,,,,,,,,,,,,,,
,,Сторчаться,,,приобрести стойкую наркотическую зависимость.,,,,,,,,,,,,,,
,,Татаходы,,,межпространственные тоннели используемые для перемещения Психонавта из мира А в мир Б. Которые возникают во время психотропного воздействия.,,,,,,,,,,,,,,
,,Торкнуло,,,появление наркотического опьянения или психотропного воздействия.,,,,,,,,,,,,,,
,,Колбасит,,,появление наркотического опьянения или психотропного воздействия.,,,,,,,,,,,,,,
,,Прет,,,появление наркотического опьянения или психотропного воздействия.,,,,,,,,,,,,,,
,,Вставило,,,появление наркотического опьянения или психотропного воздействия.,,,,,,,,,,,,,,
,,Штырит,,,появление наркотического опьянения или психотропного воздействия.,,,,,,,,,,,,,,
,,Торчать,,,"длительное время (много раз подряд, постоянно) находиться под воздействием наркотика..",,,,,,,,,,,,,,
,,Трип (английский,,,"путешествие), Приход — состояние «путешествия», в которое «отправляются» под воздействием веществ, зачастую психоделических или галлюциногенных. См. также Бэдтрип.",,,,,,,,,,,,,,
,,Трухануло,,,"лихорадка, возникающая после инъекции грязного раствора, ханки — активное состояние при приёме большой дозы наркотика.",,,,,,,,,,,,,,
,,Тяга,,,основное действие наркотика (применимо в основном к опиатам).,,,,,,,,,,,,,,
,,Арык,,,"вена, как объект, в который производится инъекция. (преимущ. в Азии)",,,,,,,,,,,,,,
,,Гепок,,,вирусный гепатит.,,,,,,,,,,,,,,
,,Дорога,,,"цепочка следов от инъекций, идущая вдоль вены.",,,,,,,,,,,,,,
,,Колодец,,,«воронкообразное» втяжение кожи в паховой области после многочисленных инъекций наркотика в бедренную вену.,,,,,,,,,,,,,,
,,Метро,,,"подмышечный сосудистый пучок, куда (в подмышечную вену) делаются инъекции при отсутствии поверхностных вен.",,,,,,,,,,,,,,
,,Обратка,,,"поверхностная вена, располагающаяся на задне-внутренней поверхности предплечья, неудобна для самостоятельного введения наркотика.",,,,,,,,,,,,,,
,,Пах,,,"бедренный сосудистый пучок куда (в бедренную вену) делаются инъекции при отсутствии поверхностных вен. Вскрыть пах — сделать первую инъекцию, научиться делать инъекции в бедренную вену.",,,,,,,,,,,,,,
,,Пробоина,,,след на коже от инъекции наркотика.,,,,,,,,,,,,,,
,,Централка,,,основная крупная вена локтевого сгиба,,,,,,,,,,,,,,
,,Центряк,,,основная крупная вена локтевого сгиба,,,,,,,,,,,,,,
,,Синявка,,,"поверхностная вена очень малого диаметра, в которую почти невозможно сделать инъекцию.",,,,,,,,,,,,,,
,,Чича,,,"незаживающая ранка над веной, в которую постоянно производятся инъекции.",,,,,,,,,,,,,,
,,Кратер,,,"незаживающая ранка над веной, в которую постоянно производятся инъекции.",,,,,,,,,,,,,,
,,Вулкан,,,"незаживающая ранка над веной, в которую постоянно производятся инъекции.",,,,,,,,,,,,,,
,,Шахта,,,последствия многократных инъекций в одну и ту же часть вены.,,,,,,,,,,,,,,
,,Турбина,,,последствия многократных инъекций в одну и ту же часть вены.,,,,,,,,,,,,,,
,,Шланг,,,"вена большого диаметра, в которую производятся инъекции начинающими наркоманами.",,,,,,,,,,,,,,
adderall,adderall
alprazolam,alprazolam
amphetamine,amphetamine
clonazepam,clonazepam
cocaine,cocaine
concerta,concerta
daytrana,daytrana
dilaudid,dilaudid
ecstasy,ecstasy
fentanyl,fentanyl
flunitrazepam,flunitrazepam
ghb,ghb
heroin,heroin
hydrocodone,hydrocodone
hydromorphone,hydromorphone
ketalar,ketalar
ketamine,ketamine
khat,khat
klonopin,klonopin
lorcet,lorcet
lsd,lsd
marijuana,marijuana
mdma,mdma
mescaline,mescaline
methamphetamine,methamphetamine
methylphenidate,methylphenidate
molly,molly
morphine,morphine
norco,norco
opium,opium
oxaydo,oxaydo
oxycodone,oxycodone
oxycontin,oxycontin
pcp,pcp
percocet,percocet
peyote,peyote
phencyclidine,phencyclidine
promethazine,promethazine
ritalin,ritalin
rohypnol,rohypnol
roxicodone,roxicodone
steroids,steroids
suboxone,suboxone
u-47700,u-47700
vicodin,vicodin
xanax,xanax
